200
100
209
1,37
2,1
3,56
4,21
5,47
6,90
7,27
8,9
9,83
10,38
11,92
12,31
13,65
14,78
15,17
16,38
17,95
18,83
19,30
20,66
21,89
22,75
23,52
24,11
25,63
26,71
27,62
28,23
29,94
30,45
31,31
32,18
33,42
34,88
35,78
36,17
37,2
38,40
39,83
40,93
41,34
42,81
43,38
44,55
45,15
46,56
47,52
48,15
49,44
50,40
51,95
52,96
53,60
54,64
55,14
56,10
57,2
58,68
59,82
60,19
61,85
62,39
63,60
64,26
65,92
66,57
67,79
68,26
69,39
70,85
71,1
72,21
73,42
74,42
75,55
76,79
77,16
78,87
79,54
80,38
81,80
82,31
83,67
84,4
85,15
86,49
87,36
88,4
89,72
90,75
91,1
92,7
93,21
94,61
95,68
96,66
97,89
98,49
99,49
100,51
101,31
102,46
103,90
104,97
105,93
106,15
107,69
108,61
109,75
110,53
111,77
112,59
113,93
114,56
115,28
116,77
117,66
118,63
119,55
120,17
121,47
122,82
123,68
124,3
125,95
126,24
127,99
128,91
129,74
130,73
131,25
132,23
133,51
134,5
135,34
136,100
137,79
138,93
139,48
140,31
141,96
142,58
143,6
144,74
145,76
146,5
147,98
148,30
149,58
150,87
151,13
152,20
153,100
154,50
155,96
156,84
157,28
158,73
159,86
160,93
161,95
162,44
163,29
164,34
165,85
166,21
167,67
168,88
169,45
170,87
171,82
172,34
173,66
174,22
175,2
176,41
177,57
178,12
179,3
180,72
181,35
182,17
183,47
184,43
185,69
186,67
187,94
188,69
189,63
190,58
191,33
192,2
193,57
194,32
195,46
196,23
197,45
198,70
199,62
200,8
1,2
1,6
1,7
1,10
1,18
1,29
1,115
1,123
2,3
2,4
2,12
2,13
2,21
3,161
4,5
4,8
4,11
4,42
5,22
5,43
5,106
6,14
7,15
7,17
8,9
8,83
8,85
8,130
9,24
9,36
9,38
10,37
10,73
10,109
11,30
11,192
12,66
13,19
13,139
14,23
14,26
14,127
15,16
15,48
15,77
15,119
15,133
15,193
16,32
16,47
17,20
18,40
18,143
19,27
19,158
19,178
20,25
20,121
21,148
22,45
22,80
22,101
22,112
23,31
24,28
24,60
24,70
26,171
27,35
27,66
28,99
29,41
29,62
30,34
31,168
31,181
31,200
32,33
32,52
32,61
33,74
34,51
34,72
34,183
35,56
35,111
36,39
37,44
37,92
38,57
38,64
38,187
39,49
39,102
39,199
40,55
40,110
40,131
41,67
41,84
41,100
41,104
41,154
42,46
42,54
42,103
43,59
43,88
44,87
45,50
45,53
45,94
47,65
47,68
47,107
48,71
48,151
49,58
49,64
50,197
51,146
51,160
52,141
54,63
54,90
54,116
55,110
55,114
55,190
55,198
56,75
56,113
56,125
56,170
57,187
59,81
59,122
59,138
60,86
61,69
61,82
62,93
62,172
63,128
63,159
63,179
64,137
69,132
70,76
70,179
71,79
71,91
72,117
72,183
75,136
76,78
76,97
76,180
76,195
77,120
77,126
78,184
80,89
82,96
82,105
83,169
84,95
90,98
91,141
92,157
93,108
93,135
94,155
94,175
95,194
98,124
100,152
101,162
102,150
102,164
104,129
104,147
106,134
108,118
109,182
109,196
114,145
118,144
118,191
123,140
125,177
126,165
129,149
133,186
136,142
136,156
142,174
145,166
145,190
149,153
149,157
151,163
152,173
152,185
165,167
170,176
174,188
176,189
181,192
