150_15_156_7;15;0,0172452;15;0,0196412;15;0,0311014
150_15_164_15;15;0,0152829;15;0,016569;15;0,0280586
150_75_156_7;35;0,0239604;36;0,2802439;36;1,8804576
150_75_164_15;31;0,0173886;32;0,1691497;33;1,6816781
150_135_156_7;27;0,0167704;27;0,1562143;27;1,608587
150_135_164_15;36;0,0184395;36;0,1722576;36;1,7088219
200_20_209_10;19;0,0277452;19;0,2639852;19;2,6209609
200_20_219_20;20;0,016368;20;0,0176922;20;0,0293297
200_100_209_10;31;0,0320764;33;0,4213252;33;5,272593
200_100_219_20;36;0,0650782;38;0,5908227;38;5,5428653
200_180_209_10;33;0,0546605;35;0,4882906;35;4,9640233
200_180_219_20;33;0,0580712;35;0,5342669;35;5,4077088
300_30_314_15;29;0,1195189;29;1,1801475;29;11,5974688
300_30_329_30;23;0,1157816;24;1,1403165;24;10,7978247
300_150_314_15;44;0,123683;45;1,3057349;45;12,8348152
300_150_329_30;42;0,1282125;43;1,2613423;44;12,2473351
300_270_314_15;36;0,1216782;38;1,2215927;38;11,5402363
300_270_329_30;48;0,1281008;50;1,383617;51;13,3849035
400_40_419_20;28;0,2122189;29;2,1551122;29;20,2054051
400_40_439_40;32;0,211468;33;2,2760131;33;21,6188382
400_200_419_20;38;0,2204691;40;2,2025926;41;21,3541171
400_200_439_40;45;0,2273125;45;2,3348288;48;23,6102035
400_360_419_20;46;0,2314024;46;2,2916917;48;21,8662315
400_360_439_40;45;0,2251485;50;2,2463888;51;22,8223621
450_45_471_22;33;0,274453;34;2,755591;34;27,3380785
450_45_494_45;31;0,2562801;35;2,722561;35;26,1440823
450_225_471_22;42;0,2888377;43;2,9855611;44;28,6713356
450_225_494_45;49;0,3048715;52;3,2206362;52;31,803277
450_405_471_22;50;0,3088524;52;3,0260653;53;31,4068098
450_405_494_45;52;0,3297323;52;3,3147207;56;32,9618025
600_60_629_30;37;0,5987096;39;5,875956;40;55,6403194
600_60_659_60;40;0,583212;41;5,6581953;43;54,9467724
600_300_629_30;52;0,5968107;56;5,8355027;56;56,7067983
600_300_659_60;52;0,6054386;54;6,2932832;55;57,8192484
600_540_629_30;49;0,5407838;49;5,3708862;49;53,62619
600_540_659_60;53;0,576295;58;5,7553505;58;57,6682999
800_80_839_40;43;0,9934743;45;9,9841791;46;99,6021272
800_80_879_80;42;1,0305921;44;10,2618642;45;98,5949893
800_400_839_40;52;1,0388547;57;10,1142552;57;100,0044164
800_400_879_80;67;1,0739158;68;10,6871123;71;106,8191728
800_720_839_40;63;1,0639271;64;10,4191136;69;102,5403714
800_720_879_80;72;1,2446964;79;12,2251572;79;121,2758999
